Noncode_id	Lncbook_id	UID	lib_id	gene_name	ensembl_id	num_id	PMID	NCBI_id	reason	Organism	Go_annotation	Alias	description	chr	start	end	strand	cancer_related	disease_related	vivo	vitro
NONMMUG045569.3	N.A.	ELM000011	Xist	Xist		1176	23415223	213742	Deleting Xist in the Blood Compartment Results in Female Specific Lethality.	Mouse	X inactivation is an early developmental process in mammalian females that transcriptionally silences one of the pair of X chromosomes, thus providing dosage equivalence between males and females. The process is regulated by several factors, including a region of chromosome X called the X inactivation center (XIC). The XIC comprises several non-coding and protein-coding genes, and this gene was the first non-coding gene identified within the XIC. This gene is expressed exclusively from the XIC of the inactive X chromosome. It is essential for the initiation and spread of X-inactivation. It silences hundreds of genes by recruiting and tethering repressive chromatin-modifying complexes to the inactive X chromosome. Alternatively spliced transcript variants have been identified.	X-inactive specific transcript;AI314753; A430022B11		chrX	103460372	103483233	-	0	0	1	0
NONMMUG029813.3	N.A.	ELM000012	Gm12610	Gm12610		1177	32400082	102633081	Overexpression of long non-coding RNA ANRIL promotes post-ischaemic angiogenesis and improves cardiac functions by targeting Akt.	Mouse	N.A.	predicted gene 12610;ANRIL; Gm12609		chr4	89295044	89518621	+	0	0	1	0
N.A.	N.A.	ELM000013	lncKdm2b	lncKdm2b		1192	28319097	-	LncKdm2b deficiency in the hematopoietic system led to reductions in the number and effector functions of ILC3s. LncKdm2b expression sustained the maintenance of ILC3s by promoting their proliferation through activation of the transcription  factor Zfp292. Mechanistically, lncKdm2b recruited the chromatin organizer Satb1 and the nuclear remodeling factor (NURF) complex onto the Zfp292 promoter to initiate its transcription.LncKdm2b deficiency abrogates blastocyst development at embryonic day 3 (E3.0), leading to early embryonic lethality.	Mouse	N.A.	N.A.						0	0	1	0
N.A.	N.A.	ELM000014	Bvht	Bvht		1193	23352431	545261	Bvht is necessary for activation of a core cardiovascular gene network and functions upstream of mesoderm posterior 1(MesP1), a master regulator of a common multipotent cardiovascular progenitor. Bvht interacts with SUZ12, a component of polycomb repressive complex 2 (PRC2), during cardiomyocyte differentiation, suggesting that Bvht mediates epigenetic regulation of cardiac commitment. together,Bvht plays a role in maintaining cardiac fate in neonatal cardiomyocytes.	Mouse	This gene encodes a spliced long non-coding RNA that may play a critical role in cardiovascular lineage commitment. During cardiomyocyte differentiation this transcript interacts with SUZ12, a component of polycomb repressive complex 2 (PRC2) which is known to mediate epigenetic gene silencing. It has been suggested that this transcript functions by activating a network of genes that control cardiovascular cell fate.	braveheart long non-coding RNA;Gm20748; Braveheart		chr18	61772724	61780556	+	0	0	1	0
NONMMUG024063.2	N.A.	ELM000015	Paupar	Paupar		1196	31607563	103164605	The Long Noncoding RNA Paupar Modulates PAX6 Regulatory Activities to Promote Alpha Cell Development and Function.	Mouse	Exhibits chromatin binding activity. Involved in gene expression; neural precursor cell proliferation; and neurogenesis. Localizes to cytoplasm and nucleoplasm. Orthologous to human PAUPAR (PAX6 upstream antisense RNA).	Pax6 upstream antisense RNA		chr2	105657861	105661343	-	0	0	1	0
NONMMUG017913.2	N.A.	ELM000016	Trp53cor1	Trp53cor1		1202	30857539	100504267	p53-targeted lincRNA-p21 acts as a tumor suppressor by inhibiting JAK2/STAT3 signaling pathways in head and neck squamous cell carcinoma.	Mouse	Involved in negative regulation of gene expression. Localizes to ribonucleoprotein complex.	tumor protein p53 pathway corepressor 1;linc; Gm16197; linc-p21; lincRNA-p21		chr17	29057473	29078962	-	2	0	0	0
NONMMUG018701.2	N.A.	ELM000017	Dreh	Dreh		1225	23239537	101202683	lncRNA-Dreh, which can inhibit HCC growth and metastasis in vitro and in vivo, act as a tumor suppressor in the development of hepatitis B virus (HBV)-HCC. LncRNA-Dreh could combine with the intermediate filament protein vimentin and repress its expression, and thus further change the normal cytoskeleton structure to inhibit tumor metastasis.	Mouse	Acts upstream of or within with a negative effect on cell migration; cell population proliferation; and gene expression. Acts upstream of or within intermediate filament organization.	down-regulated in hepatocellular carcinoma;lncRNA-Dreh		chr17	64766771	64768267	+	2	0	0	0
NONMMUG002215.2	N.A.	ELM000018	Gas5	Gas5		1283	29562912	14455	Gas5 is an essential lncRNA regulator for self-renewal and pluripotency of mouse embryonic stem cells and induced pluripotent stem cells.Knockdown of Gas5 promoted endodermal differentiation of mESCs(mouse embryonic stem cells) and impaired the efficiency of iPSC(induced pluripotent stem cells) reprogramming.	Mouse	Acts upstream of or within response to bacterium. Is expressed in several structures, including alimentary system; brain; metanephros; respiratory system; and sensory organ. Orthologous to human GAS5 (growth arrest specific 5).(GO:0003674,GO:0005575,GO:0008150)	growth arrest specific 5 ;Gas; Snh; Gas-5; Snhg2; Mir5117		chr1	161034421	161038539	+	0	0	1	0
NONMMUG033401.2	N.A.	ELM000019	Miat	Miat		1325	24240175	330166	Miat controls the differentiation of neural progenitors,the survival of newborn neurons and the splicing of Wnt7b.	Mouse	This gene encodes a spliced long non-coding RNA that may constitute a component of the nuclear matrix. This transcript has been associated with retinal cell fate determination. Altered expression of a similar gene in human has been associated with a susceptibility to myocardial infarction, and is involved in pathways that may contribute to the pathophysiology of schizophrenia. Alternatively spliced transcript variants have been identified.	myocardial infarction associated transcript (non-protein coding);Rncr2; gomafu; 3632434I06; A230057G18Rik		chr5	112213127	112229395	-	0	0	1	0
N.A.	N.A.	ELM000020	Tunar	Tunar		1326	24530304	69952	lincRNA TUNA plays a vital role in pluripotency and neural differentiation of ESCs and is associated with neurological function of adult vertebrates.knockdown of TUNA or the individual RBPs inhibited neural differentiation of mESCs.	Mouse	Acts upstream of or within several processes, including positive regulation of chromatin binding activity; positive regulation of mitotic cell cycle; and positive regulation of transcription by RNA polymerase II. Located in cytoplasm and nucleus. Part of ribonucleoprotein complex. Is expressed in brain; embryo; eye; and spinal cord. Orthologous to human TUNAR (TCL1 upstream neural differentiation-associated RNA).(GO:0003674,GO:0005737 ,GO:0030529 ,GO:0005634,GO:0045596,GO:0048663 ,GO:0035563 ,GO:0045931,GO:0045944)	Tcl1 upstream neural differentiation associated RNA;Tuna; 2810011L19Rik		chr12	105303087	105350191	+	0	0	1	0
N.A.	N.A.	ELM000021	Dlx6os1	Dlx6os1		1327	19620975	320038	Evf2 trucRNA plays a critical role in gene regulation and the development of interneurons.Evf2 non-coding RNA regulates transcription of homeodomain transcription factors DLX5 and DLX6 in the developing mouse forebrain.	Mouse	N.A.	distal-less homeobox 6, opposite strand 1;Evf1; Evf2; Evf-1; Evf-2; Shhrs; Evf1/2; Dlx6as1; A230055N17Rik		chr6	6820543	6871627	-	0	0	1	0
NONMMUG068727.2	N.A.	ELM000022	9030622O22Rik	9030622O22Rik		1328	25739401	100043820	ALIEN knockdown resulted in downregulation of gene related to angiogenesis and blood vessel development could be observed.	Mouse	N.A.	RIKEN cDNA 9030622O22 gene;Alien; Falcor		chr2	147936505	148040340	-	0	0	1	0
N.A.	N.A.	ELM000023	Tslrn1	Tslrn1		1330	29044429	75545	a mouse knockout of one X-linked lncRNA, Tslrn1 (testis-specific long noncoding RNA 1), and found that males carrying a Tslrn1 deletion displayed normal fertility but a significant reduction in spermatozoa.	Mouse	spermatogenesis	testis specific long noncoding RNA 1;1700019B21Rik		chrX	62510539	62527011	-	0	0	1	0
NONMMUG041158.2	N.A.	ELM000024	Hm629797	Hm629797		1332	22665494	101101691	mrhl RNA plays a negative role in Wnt signaling in mouse spermatogonial cells through its interaction with p68.	Mouse	Acts upstream of or within regulation of Wnt signaling pathway; regulation of gene expression; and regulation of protein import into nucleus.	cDNA sequence HM629797;Mrhl		chr8	85994243	85996662	+	0	0	1	0
N.A.	N.A.	ELM000025	4933409F18Rik	4933409F18Rik		1333	27822884	74668	Knockdown of AK015322 resulted in decreased proliferation, suggesting its role in maintaining SSC self-renewal capacity.	Mouse	N.A.	RIKEN cDNA 4933409F18 gene; 4930435E18Rik		chr12	26814371	26834551	-	0	0	1	0
NONMMUG039587.2	N.A.	ELM000026	Gm2044	Gm2044		1334	29934815	100039095	Gm2044 to be critical for germ cell transition and meiotic progression by inhibiting Utf1 translation.	Mouse	N.A.	predicted gene 2044		chr7	139957004	139958040	-	0	0	1	0
N.A.	N.A.	ELM000027	Mhrt	Mhrt		1335	25119045	791403	A long noncoding RNA Mhrt protects the heart from pathological hypertrophy.	Mouse	This gene encodes a spliced long non-coding RNA that may act as a cardioprotective agent in the heart. This transcript is thought to regulate chromatin remodeling by acting as a decoy to the Brg1 chromatin repressor complex thus preventing it from binding to its genomic targets. Blocking the actions of Brg1 may be crucial in protecting the heart from pathological hypertrophy.	myosin heavy chain associated RNA transcript;Myheart; D830015G02Rik		chr14	54968787	54974349	+	0	0	1	0
NONMMUG045574.2	N.A.	ELM000028	Jpx	Jpx		1337	21029862	70252	Jpx is developmentally regulated and accumulates during XCI(X chromosome inactivation). Deleting Jpx blocks XCI and is female lethal.	Mouse	Acts upstream of or within positive regulation of transcription by RNA polymerase II and regulation of dosage compensation by inactivation of X chromosome.Orthologous to human JPX (JPX transcript, XIST activator).	Jpx transcript, Xist activator (non-protein coding);Enox; 2010000I03Rik; 2510040I06Rik		chrX	103493556	103530654	+	0	0	1	0
NONMMUG017485.2	N.A.	ELM000029	Airn	Airn		1338	29483092	104103	Silencing of Airn via siRNAs augmented cell death, vulnerability to cellular stress, and reduced cell migration.Further experiments showed that Airn binds to Igf2bp2 to control the translation of several genes. Moreover, silencing of Airn caused less binding of Igf2bp2 to other mRNAs and reduced translation of Igf2bp2 protein.	Mouse	This gene is a paternally expressed imprinted gene. Alternatively spliced transcript variants have been produced from this gene and they are all long non-coding RNAs. These variants share the same 5' exon, and their 3' exons are divergent. The 5' exon overlaps the intron 2 of the Igf2r gene on the opposite strand. The Igf2r intron 2 contains a CpG island, which is a promoter and drives the expression of this gene. This gene is responsible for silencing Igf2r, and the flanking Slc22a2 and Slc22a3 genes in the imprinted gene cluster. It regulates transcription of these genes through epigenetic modifications.	antisense Igf2r RNA；Air; IGF2RAS; AI256653; AI597500; AW049873; D17Ertd663e; 2810051F02Rik; 2810434M15Rik; B930018I07Rik		chr17	12741310	12860182	+	0	0	1	0
NONMMUG039685.2	N.A.	ELM000030	Kcnq1ot1	Kcnq1ot1		1339	12410230	63830	deletion of KvDMR1 lead to growth defects.	Mouse	The distal end of mouse chromosome 7 contains two clusters of epigenetically-regulated genes that are expressed from only one chromosome in a parent-of-origin manner. Each cluster, or imprinted domain, is regulated by a functionally independent imprinting control region (ICR). The telomeric imprinted domain is regulated by an ICR located in an intron of Kcnq1, and contains at least eight genes that are expressed exclusively or preferentially from the maternally-inherited allele. The DNA of the ICR is specifically methylated on the maternally-inherited chromosome, and unmethylated on the paternally-inherited chromosome. The ICR contains the promoter of the Kcnq1ot1 gene that is exclusively expressed from the paternal allele. The Kcnq1ot1 transcript is the antisense to the Kcnq1 gene and is a unspliced long non-coding RNA. It interacts with chromatin and regulates transcription of multiple target genes through epigenetic modifications.	KCNQ1 overlapping transcript 1;Lit1; Tssc8; Kvlqt1-as		chr7	143212154	143298451	-	0	0	1	0
NONMMUG040634.2	N.A.	ELM000031	Hand2os1	Hand2os1		1340	29420831	102636514	The full-length deletion of Hand2as (17-kb deletion), but not deletion of the promoter and 5’ sequences  or a distal element , caused a perinatal lethal phenotype with dysregulated cardiac gene expression and heart hypoplasia.	Mouse	Involved in positive regulation of gene expression. Acts upstream of or within with a positive effect on cardiac right ventricle morphogenesis. Acts upstream of or within transcription elongation from RNA polymerase II promoter. Located in chromatin; cytoplasm; and nucleoplasm. Is expressed in several structures, including alimentary system; heart; limb bud; liver; and spleen.	Hand2, opposite strand 1;Uph; Gm28063; Hand2-as1		chr8	57304264	57320859	-	0	0	1	0
NONMMUG030202.3	N.A.	ELM000032	Ttc39aos1	Ttc39aos1		1341	22155924	102635290	Loss-of-function studies revealed that inhibition of LincRNA-EPS induction results in apoptosis and blockage of proliferation of erythroid progenitors.	Mouse	Enables chromatin binding activity; ribonucleoprotein complex binding activity; and transcription cis-regulatory region binding activity. Acts upstream of or within with a negative effect on inflammatory response and transcription by RNA polymerase II. Acts upstream of or within gene expression; nucleosome organization; and response to lipopolysaccharide.	Ttc39a opposite strand RNA 1;Gm12750; lincRNA-EPS		chr4	109402279	109407100	-	0	0	1	0
NONMMUG020673.3	N.A.	ELM000033	Neat1	Neat1		1342	25359727	66961	Neat1 knockout mice fail to produce functional corpus luteum and are infertile.	Mouse	This gene produces a long non-coding RNA (lncRNA) that is retained in the nucleus where it forms the core structural component of the paraspeckle sub-organelles. It may act as a transcriptional regulator for numerous genes, including some genes involved in cancer progression.	nuclear paraspeckle assembly transcript 1 (non-protein coding)		chr19	5824551	5845878	-	0	0	1	0
NONMMUG040637.2	N.A.	ELM000034	Hdnr	Hdnr		1343	31422919	75996	complete removal of Hdn causes embryonic lethality.	Mouse	Is expressed in several structures, including branchial arch; heart; limb; limb bud; and trunk mesenchyme.	Hand2 downstream lncRNA;Hdn; Handlr; handsdown; 5033428I22Rik		chr8	57331532	57354580	+	0	0	1	0
